{6.801111426799643, 0.595514297328016 + 0.7992765902322633*I}
{6.894511516156303, 0.6113495963655555 + 0.787084153642632*I}
{6.991065147884113, 0.6275197738962429 + 0.7742128385111658*I}
{7.090896328612731, 0.6439966894058041 + 0.7606332637209248*I}
{7.19413498947795, 0.6607477235695172 + 0.7463124828609872*I}
{7.300917314826844, 0.6777359827076368 + 0.7312137934430504*I}
{7.411386091614829, 0.6949205323532822 + 0.7152966507797799*I}
{7.525691080958282, 0.7122566448661537 + 0.6985166959671381*I}
{7.643989413421201, 0.7296960449853636 + 0.6808259050636856*I}
{7.766446009739145, 0.7471871366104783 + 0.6621728639939994*I}
{7.893234028819334, 0.764675193979626 + 0.6425031709756592*I}
{8.02453534500327, 0.7821025008191395 + 0.6217599654421722*I}
{8.160541056738749, 0.7994084220050253 + 0.5998845795773488*I}
{8.301452028982906, 0.8165293938276924 + 0.5768173057660237*I}
{8.447479471848409, 0.8333988211020777 + 0.5524982705829868*I}
{8.598845558212473, 0.8499468721172339 + 0.526868403471836*I}
{8.755784083234927, 0.8661001657599297 + 0.49987048609564483*I}
{8.91854116897881, 0.88178134904726 + 0.47145026655930644*I}
{9.087376017597062, 0.8969085677175318 + 0.4415576213940264*I}
{9.262561716844106, 0.911394837391858 + 0.41014774743683474*I}
{9.44438610199409, 0.9251473280461059 + 0.37718236560218166*I}
{9.633152678601, 0.9380665800187596 + 0.34263091908546733*I}
{9.829181610923012, 0.9500456753988713 + 0.3064717497991023*I}
{10.03281078125784, 0.9609693942434353 + 0.26869323883755125*I}
{10.244396925901311, 0.9707133905002565 + 0.22929489948892764*I}
{10.464316853952305, 0.9791434275790261 + 0.18828841471522648*I}
{10.692968755748447, 0.9861147180247997 + 0.14569861503260448*I}
{10.930773608333974, 0.9914714155001507 + 0.10156439721748946*I}
{11.178176686039809, 0.9950463100671914 + 0.055939589079164416*I}
{11.435649185003339, 0.9966607793737593 + 0.008893770462878342*I}
{11.703689971278598, 0.9961250485958878 - 0.03948693458091124*I}
{11.982827463095685, 0.993238810697851 - 0.08909907521379624*I}
{12.273621658830141, 0.9877922555983649 - 0.1398210780659018*I}
{12.576666323349887, 0.9795675520742888 - 0.19151241328605273*I}
{12.892591346630734, 0.9683408196400708 - 0.24401269666101702*I}
{13.22206528988512, 0.9538846192224433 - 0.29714070345078997*I}
{13.565798135947665, 0.9359709812864907 - 0.35069327343609724*I}
{13.924544262322435, 0.9143749783201675 - 0.4044440934008691*I}
{14.299105657139636, 0.888878835491001 - 0.4581423532212919*I}
{14.69033540031576, 0.859276559175251 - 0.5115112851624011*I}
{15.099141434485125, 0.8253790483286514 - 0.5642466130288808*I}
{15.526490652800511, 0.7870196387891977 - 0.6160149584536859*I}
