{19.75221403234103, -0.9123295550843659 - 0.350591278783093*I}
{20.40222200345161, -0.9373263471225034 - 0.2641252232601555*I}
{21.084880960266624, -0.955583896266256 - 0.17384462309805096*I}
{21.80220416959598, -0.9666482345982714 - 0.08049554472883953*I}
{22.556352539402347, -0.9700820928561696 + 0.015072903733562612*I}
{23.349647169114064, -0.9654711121290506 + 0.1119146196216802*I}
{24.184583115599153, -0.9524316885341595 + 0.20899532477252702*I}
{25.063844507230012, -0.9306206502037849 + 0.3052041669624887*I}
{25.99032115452514, -0.8997469090196318 + 0.39936802521184944*I}
{26.96712682405959, -0.8595851499103969 + 0.49026834597523117*I}
{27.997619363004798, -0.8099915174247577 + 0.5766602410176936*I}
{29.08542288515683, -0.750921133142845 + 0.6572934842710254*I}
{30.23445225606387, -0.682447130181544 + 0.7309349591438143*I}
{31.448940145363398, -0.6047807261558519 + 0.7963920349021204*I}
{32.7334669492622, -0.5182916789266515 + 0.8525362961479555*I}
{34.092993925910605, -0.42352828772850576 + 0.8983270180767686*I}
{35.53289993202139, -0.3212359252631579 + 0.9328337763364069*I}
{37.059022201385325, -0.21237292538277733 + 0.9552576070030697*I}
{38.67770166601895, -0.09812251900150003 + 0.964950190857479*I}
{40.395833389817405, 0.020100578041347704 + 0.9614306261222534*I}
{42.22092276427264, 0.14065035266917772 + 0.9443994719686015*I}
{44.16114820782206, 0.2616578445396339 + 0.9137498855160411*I}
{46.225431216804985, 0.3810489192888592 + 0.8695758289451272*I}
{48.42351473930116, 0.49657250485509313 + 0.812177479129846*I}
{50.76605098624853, 0.6058400073955021 + 0.7420641158275874*I}
{53.26469996068887, 0.7063761963571489 + 0.6599548800911119*I}
{55.93224017994595, 0.7956813224870742 + 0.5667778655198157*I}
{58.78269329199503, 0.8713036202879935 + 0.46366801507838645*I}
{61.83146455221958, 0.9309206682389294 + 0.3519642314399051*I}
{65.09550143735744, 0.9724273652144758 + 0.23320595911790662*I}
{68.59347303837006, 0.9940275675330721 + 0.10912925800269938*I}
{72.34597330367161, 0.9943257629332944 - 0.018337935738309944*I}
{76.37575171127328, 0.9724145861437129 - 0.1470820604069288*I}
{80.70797554827573, 0.9279535592106789 - 0.2748128317406433*I}
{85.37052868744529, 0.8612342215633602 - 0.39907639051612753*I}
{90.39435259611831, 0.773226848481113 - 0.517274701869833*I}
{95.81383632026353, 0.6656042814224332 - 0.6266935339727102*I}
{101.66726339040702, 0.5407390346144564 - 0.7245415068649759*I}
{107.99732503840062, 0.4016708055587712 - 0.8080026430160065*I}
{114.85171084670486, 0.2520427860328828 - 0.8743045088287127*I}
