{15.9734133335172, 0.9564767315694879 - 0.2917778534784827*I}
{16.441007954414125, 0.9541817093388643 - 0.299200661902967*I}
{16.930446423608338, 0.9517564153334332 - 0.30683191676753363*I}
{17.442979767230547, 0.9491922749671597 - 0.31467907882653656*I}
{17.979944318802545, 0.9464800303341142 - 0.32274990441529616*I}
{18.542768460051175, 0.9436096822328213 - 0.3310524587819245*I}
{19.132979968376496, 0.9405704295182541 - 0.33959512934873204*I}
{19.75221403234103, 0.9373506059808211 - 0.34838663802767494*I}
{20.40222200345161, 0.93393761484608 - 0.35743605141667795*I}
{21.084880960266624, 0.9303178608103073 - 0.36675278738947253*I}
{21.80220416959598, 0.926476679265931 - 0.3763466162787386*I}
{22.556352539402347, 0.9223982620221948 - 0.38622765456378816*I}
{23.349647169114064, 0.9180655783919197 - 0.39640634873725705*I}
{24.184583115599153, 0.9134602900054428 - 0.40689344687102014*I}
{25.063844507230012, 0.9085626571495826 - 0.4176999553617572*I}
{25.99032115452514, 0.9033514338478337 - 0.42883707844145436*I}
{26.96712682405959, 0.8978037483475966 - 0.44031613831206184*I}
{27.997619363004798, 0.8918949652258658 - 0.452148474220355*I}
{29.08542288515683, 0.8855985250452907 - 0.46434531942629936*I}
{30.23445225606387, 0.8788857574781271 - 0.4769176558110275*I}
{31.448940145363398, 0.8717256641628506 - 0.4898760467656283*I}
{32.7334669492622, 0.8640846683623317 - 0.5032304499123659*I}
{34.092993925910605, 0.8559263298370947 - 0.5169900120115735*I}
{35.53289993202139, 0.8472110252912549 - 0.5311628489383633*I}
{37.059022201385325, 0.8378955973115679 - 0.5457558136772633*I}
{38.67770166601895, 0.8279329778649012 - 0.5607742546584557*I}
{40.395833389817405, 0.8172717960377294 - 0.5762217652155424*I}
{42.22092276427264, 0.8058559835989636 - 0.592099922264739*I}
{44.16114820782206, 0.7936243958569674 - 0.6084080083177094*I}
{46.225431216804985, 0.780510468782245 - 0.6251427055581716*I}
{48.42351473930116, 0.7664419360176282 - 0.642297743979006*I}
{50.76605098624853, 0.7513406306842478 - 0.6598634777126465*I}
{53.26469996068887, 0.7351223962955694 - 0.6778263551372846*I}
{55.93224017994595, 0.7176971281577571 - 0.6961682398094766*I}
{58.78269329199503, 0.6989689610584119 - 0.7148655317445605*I}
{61.83146455221958, 0.6788366107800501 - 0.7338880332961235*I}
{65.09550143735744, 0.6571938663443901 - 0.7531975023569819*I}
{68.59347303837006, 0.6339302177083502 - 0.7727458394318366*I}
{72.34597330367161, 0.6089315912799806 - 0.7924728659158122*I}
{76.37575171127328, 0.5820811551172914 - 0.812303670033201*I}
{80.70797554827573, 0.5532601496378299 - 0.8321455252499953*I}
{85.37052868744529, 0.5223487012142738 - 0.8518844237059205*I}
{90.39435259611831, 0.48922658851940604 - 0.8713813133801083*I}
{95.81383632026353, 0.45377395812742294 - 0.8904681800349615*I}
{101.66726339040702, 0.4158720292077688 - 0.9089441696841296*I}
{107.99732503840062, 0.3754038883301474 - 0.926571999069692*I}
{114.85171084670486, 0.3322555534685949 - 0.9430749437326049*I}
